,word,format,onset,duration
0,[1],,0.0,0.5
1,MR,,0.5,0.5
2,WENDELL,,1.0,0.5
3,AND,,1.5,0.5
4,HIS,,2.0,0.5
5,BRIDE,,2.5,0.5
6,WILL,,3.0,0.5
7,LIVE,,3.5,0.5
8,IN,,4.0,0.5
9,HIS,,4.5,0.5
10,LAKE,,5.0,0.5
11,FOREST,,5.5,0.5
12,HOUSE,,6.0,0.5
13,S,,6.5,0.5
14,[2],,7.0,0.5
15,PRIOR,,7.5,0.5
16,TO,,8.0,0.5
17,THAT,,8.5,0.5
18,HE,,9.0,0.5
19,WAS,,9.5,0.5
20,ASSOCIATED,,10.0,0.5
21,WITH,,10.5,0.5
22,LONG,,11.0,0.5
23,ISLAND,,11.5,0.5
24,UNIVERSITY,,12.0,0.5
25,IN,,12.5,0.5
26,BROOKLYN,,13.0,0.5
27,S,,13.5,0.5
28,[3],,14.0,0.5
29,THE,,14.5,0.5
30,ORCHESTRA,,15.0,0.5
31,WAS,,15.5,0.5
32,OBVIOUSLY,,16.0,0.5
33,ON,,16.5,0.5
34,ITS,,17.0,0.5
35,METTLE,,17.5,0.5
36,AND,,18.0,0.5
37,IT,,18.5,0.5
38,PLAYED,,19.0,0.5
39,MOST,,19.5,0.5
40,RESPONSIVELY,,20.0,0.5
41,S,,20.5,0.5
42,[1],,21.0,0.5
43,JUMS,,21.5,0.5
44,REE,,22.0,0.5
45,CONEST,,22.5,0.5
46,SUFFISTION,,23.0,0.5
47,OY,,23.5,0.5
48,O,,24.0,0.5
49,HOUL,,24.5,0.5
50,OS,,25.0,0.5
51,FOUSE,,25.5,0.5
52,OD,,26.0,0.5
53,FEETOGE,,26.5,0.5
54,PUNES,,27.0,0.5
55,N,,27.5,0.5
56,[2],,28.0,0.5
57,RO,,28.5,0.5
58,REE,,29.0,0.5
59,DICONTORS,,29.5,0.5
60,REE,,30.0,0.5
61,TROPLEN,,30.5,0.5
62,OSTEORED,,31.0,0.5
63,O,,31.5,0.5
64,MOLLER,,32.0,0.5
65,OY,,32.5,0.5
66,INTROWLS,,33.0,0.5
67,OM,,33.5,0.5
68,DITLENONY,,34.0,0.5
69,N,,34.5,0.5
70,[3],,35.0,0.5
71,TRORE,,35.5,0.5
72,WAM,,36.0,0.5
73,TOTTLE,,36.5,0.5
74,HOGELIHOOD,,37.0,0.5
75,OY,,37.5,0.5
76,EDY,,38.0,0.5
77,CETTOWERS,,38.5,0.5
78,GOULING,,39.0,0.5
79,EN,,39.5,0.5
80,ET,,40.0,0.5
81,FROT,,40.5,0.5
82,MOUR,,41.0,0.5
83,N,,41.5,0.5
84,[4],,42.0,0.5
85,HU,,42.5,0.5
86,SLUPPED,,43.0,0.5
87,MABING,,43.5,0.5
88,RO,,44.0,0.5
89,STOME,,44.5,0.5
90,ET,,45.0,0.5
91,HAK,,45.5,0.5
92,PITH,,46.0,0.5
93,HUS,,46.5,0.5
94,POMP,,47.0,0.5
95,DRUE,,47.5,0.5
96,EAFS,,48.0,0.5
97,N,,48.5,0.5
98,[5],,49.0,0.5
99,O,,49.5,0.5
100,NURGER,,50.0,0.5
101,OY,,50.5,0.5
102,DIMBEDEROTIONS,,51.0,0.5
103,SUFFIST,,51.5,0.5
104,FROT,,52.0,0.5
105,PLIN,,52.5,0.5
106,UXCURS,,53.0,0.5
107,OODLY,,53.5,0.5
108,EN,,54.0,0.5
109,REE,,54.5,0.5
110,STORESS,,55.0,0.5
111,N,,55.5,0.5
112,[6],,56.0,0.5
113,RO,,56.5,0.5
114,COMPYNE,,57.0,0.5
115,VOUR,,57.5,0.5
116,OPWOSTED,,58.0,0.5
117,GRODE,,58.5,0.5
118,INGIME,,59.0,0.5
119,HOO,,59.5,0.5
120,TOTIT,,60.0,0.5
121,ORS,,60.5,0.5
122,ILEND,,61.0,0.5
123,OY,,61.5,0.5
124,INGIME,,62.0,0.5
125,N,,62.5,0.5
126,[4],,63.0,0.5
127,THE,,63.5,0.5
128,SOCIAL,,64.0,0.5
129,AND,,64.5,0.5
130,PSYCHOLOGICAL,,65.0,0.5
131,CONSEQUENCES,,65.5,0.5
132,OF,,66.0,0.5
133,THIS,,66.5,0.5
134,CONTINUE,,67.0,0.5
135,TO,,67.5,0.5
136,AFFECT,,68.0,0.5
137,THE,,68.5,0.5
138,AREA,,69.0,0.5
139,S,,69.5,0.5
140,[5],,70.0,0.5
141,BUT,,70.5,0.5
142,A,,71.0,0.5
143,SOMEWHAT,,71.5,0.5
144,MORE,,72.0,0.5
145,DETAILED,,72.5,0.5
146,ANALYSIS,,73.0,0.5
147,OF,,73.5,0.5
148,THIS,,74.0,0.5
149,PROCESS,,74.5,0.5
150,MAY,,75.0,0.5
151,BE,,75.5,0.5
152,ILLUMINATING,,76.0,0.5
153,S,,76.5,0.5
154,[6],,77.0,0.5
155,BUT,,77.5,0.5
156,I,,78.0,0.5
157,ONLY,,78.5,0.5
158,THOUGHT,,79.0,0.5
159,OF,,79.5,0.5
160,THAT,,80.0,0.5
161,IN,,80.5,0.5
162,THE,,81.0,0.5
163,MIDDLE,,81.5,0.5
164,OF,,82.0,0.5
165,THE,,82.5,0.5
166,NIGHT,,83.0,0.5
167,S,,83.5,0.5
168,[7],,84.0,0.5
169,HUS,,84.5,0.5
170,WISM,,85.0,0.5
171,WAM,,85.5,0.5
172,EN,,86.0,0.5
173,DITIROTE,,86.5,0.5
174,HEONSE,,87.0,0.5
175,OSE,,87.5,0.5
176,NYREING,,88.0,0.5
177,OP,,88.5,0.5
178,INFONE,,89.0,0.5
179,PITH,,89.5,0.5
180,MEESHES,,90.0,0.5
181,N,,90.5,0.5
182,[8],,91.0,0.5
183,HU,,91.5,0.5
184,OTUPSED,,92.0,0.5
185,SHIMING,,92.5,0.5
186,EDY,,93.0,0.5
187,MURPLISE,,93.5,0.5
188,OM,,94.0,0.5
189,ONSUXONCE,,94.5,0.5
190,QUEN,,95.0,0.5
191,VO,,95.5,0.5
192,OVE,,96.0,0.5
193,ORSHERED,,96.5,0.5
194,HOM,,97.0,0.5
195,N,,97.5,0.5
196,[9],,98.0,0.5
197,KEETH,,98.5,0.5
198,TORD,,99.0,0.5
199,PUNDY,,99.5,0.5
200,ONIET,,100.0,0.5
201,HUS,,100.5,0.5
202,BLEEM,,101.0,0.5
203,RO,,101.5,0.5
204,LEFORN,,102.0,0.5
205,RO,,102.5,0.5
206,EMCIO,,103.0,0.5
207,OSE,,103.5,0.5
208,BELMO,,104.0,0.5
209,N,,104.5,0.5
210,[7],,105.0,0.5
211,HE,,105.5,0.5
212,HAS,,106.0,0.5
213,TO,,106.5,0.5
214,COPE,,107.0,0.5
215,WITH,,107.5,0.5
216,FRUSTRATION,,108.0,0.5
217,AND,,108.5,0.5
218,OTHER,,109.0,0.5
219,EMOTIONAL,,109.5,0.5
220,DISTURBANCE,,110.0,0.5
221,AND,,110.5,0.5
222,ANOMIE,,111.0,0.5
223,S,,111.5,0.5
224,[8],,112.0,0.5
225,BUT,,112.5,0.5
226,THE,,113.0,0.5
227,INFORMATION,,113.5,0.5
228,ON,,114.0,0.5
229,THE,,114.5,0.5
230,DYNAMICS,,115.0,0.5
231,OF,,115.5,0.5
232,POPULATION,,116.0,0.5
233,WAS,,116.5,0.5
234,OFTEN,,117.0,0.5
235,QUITE,,117.5,0.5
236,MISLEADING,,118.0,0.5
237,S,,118.5,0.5
238,[9],,119.0,0.5
239,SHE,,119.5,0.5
240,WOULD,,120.0,0.5
241,RATHER,,120.5,0.5
242,LIVE,,121.0,0.5
243,IN,,121.5,0.5
244,DANGER,,122.0,0.5
245,THAN,,122.5,0.5
246,DIE,,123.0,0.5
247,OF,,123.5,0.5
248,LONELINESS,,124.0,0.5
249,AND,,124.5,0.5
250,BOREDOM,,125.0,0.5
251,S,,125.5,0.5
252,[10],,126.0,0.5
253,REE,,126.5,0.5
254,RENICKER,,127.0,0.5
255,GEDDED,,127.5,0.5
256,AR,,128.0,0.5
257,HU,,128.5,0.5
258,MOFFS,,129.0,0.5
259,UD,,129.5,0.5
260,BEBILL,,130.0,0.5
261,HOM,,130.5,0.5
262,ET,,131.0,0.5
263,REE,,131.5,0.5
264,BOM,,132.0,0.5
265,N,,132.5,0.5
266,[11],,133.0,0.5
267,EN,,133.5,0.5
268,REE,,134.0,0.5
269,STONLISKS,,134.5,0.5
270,HU,,135.0,0.5
271,COURN,,135.5,0.5
272,MEE,,136.0,0.5
273,REE,,136.5,0.5
274,PREES,,137.0,0.5
275,STRICKED,,137.5,0.5
276,OY,,138.0,0.5
277,FREIR,,138.5,0.5
278,LEORED,,139.0,0.5
279,N,,139.5,0.5
280,[12],,140.0,0.5
281,REE,,140.5,0.5
282,TONBET,,141.0,0.5
283,CHOCE,,141.5,0.5
284,DROCKLY,,142.0,0.5
285,OSE,,142.5,0.5
286,BRUICLY,,143.0,0.5
287,TULLS,,143.5,0.5
288,HOO,,144.0,0.5
289,WHISS,,144.5,0.5
290,OPRITIDES,,145.0,0.5
291,FE,,145.5,0.5
292,QUAT,,146.0,0.5
293,N,,146.5,0.5
294,[10],,147.0,0.5
295,IT,,147.5,0.5
296,WOULD,,148.0,0.5
297,HAVE,,148.5,0.5
298,BEEN,,149.0,0.5
299,EASY,,149.5,0.5
300,TO,,150.0,0.5
301,IDENTIFY,,150.5,0.5
302,AS,,151.0,0.5
303,OPIUM,,151.5,0.5
304,BY,,152.0,0.5
305,ITS,,152.5,0.5
306,ODOR,,153.0,0.5
307,S,,153.5,0.5
308,[11],,154.0,0.5
309,HE,,154.5,0.5
310,ALSO,,155.0,0.5
311,REMINDED,,155.5,0.5
312,HIMSELF,,156.0,0.5
313,THAT,,156.5,0.5
314,HE,,157.0,0.5
315,HAD,,157.5,0.5
316,AN,,158.0,0.5
317,UNUSUAL,,158.5,0.5
318,NUMBER,,159.0,0.5
319,OF,,159.5,0.5
320,POSSIBILITIES,,160.0,0.5
321,S,,160.5,0.5
322,[12],,161.0,0.5
323,HIS,,161.5,0.5
324,SMALL,,162.0,0.5
325,BLACK,,162.5,0.5
326,EYES,,163.0,0.5
327,DARTED,,163.5,0.5
328,INSIDE,,164.0,0.5
329,THE,,164.5,0.5
330,OLIVE,,165.0,0.5
331,OVAL,,165.5,0.5
332,OF,,166.0,0.5
333,HIS,,166.5,0.5
334,FACE,,167.0,0.5
335,S,,167.5,0.5
336,[13],,168.0,0.5
337,HE,,168.5,0.5
338,TURNED,,169.0,0.5
339,AND,,169.5,0.5
340,RACED,,170.0,0.5
341,ACROSS,,170.5,0.5
342,THE,,171.0,0.5
343,PARADE,,171.5,0.5
344,GROUND,,172.0,0.5
345,TOWARD,,172.5,0.5
346,THE,,173.0,0.5
347,ROCK,,173.5,0.5
348,HOUSE,,174.0,0.5
349,S,,174.5,0.5
350,[14],,175.0,0.5
351,SUSAN,,175.5,0.5
352,AND,,176.0,0.5
353,JULIA,,176.5,0.5
354,CAME,,177.0,0.5
355,FROM,,177.5,0.5
356,THE,,178.0,0.5
357,DOOR,,178.5,0.5
358,AND,,179.0,0.5
359,DRAGGED,,179.5,0.5
360,HIM,,180.0,0.5
361,WITH,,180.5,0.5
362,THEM,,181.0,0.5
363,S,,181.5,0.5
364,[15],,182.0,0.5
365,I,,182.5,0.5
366,SPUN,,183.0,0.5
367,ABOUT,,183.5,0.5
368,AND,,184.0,0.5
369,CLATTERED,,184.5,0.5
370,THROUGH,,185.0,0.5
371,THE,,185.5,0.5
372,FRONT,,186.0,0.5
373,ROOM,,186.5,0.5
374,TO,,187.0,0.5
375,THE,,187.5,0.5
376,DOOR,,188.0,0.5
377,S,,188.5,0.5
378,[13],,189.0,0.5
379,NUDER,,189.5,0.5
380,OGICS,,190.0,0.5
381,DOD,,190.5,0.5
382,HU,,191.0,0.5
383,URTER,,191.5,0.5
384,INNI,,192.0,0.5
385,REE,,192.5,0.5
386,SODUOL,,193.0,0.5
387,OY,,193.5,0.5
388,SHIMING,,194.0,0.5
389,REE,,194.5,0.5
390,ONIMPMENT,,195.0,0.5
391,N,,195.5,0.5
392,[14],,196.0,0.5
393,THUN,,196.5,0.5
394,ANMOCICA,,197.0,0.5
395,RURNED,,197.5,0.5
396,OSE,,198.0,0.5
397,PITH,,198.5,0.5
398,OP,,199.0,0.5
399,OOMY,,199.5,0.5
400,GRORT,,200.0,0.5
401,WORVED,,200.5,0.5
402,LOWOND,,201.0,0.5
403,REE,,201.5,0.5
404,LENCHEN,,202.0,0.5
405,N,,202.5,0.5
406,[15],,203.0,0.5
407,PORY,,203.5,0.5
408,TIVES,,204.0,0.5
409,SIRKS,,204.5,0.5
410,HUS,,205.0,0.5
411,WEOTH,,205.5,0.5
412,FROT,,206.0,0.5
413,SILORY,,206.5,0.5
414,HUD,,207.0,0.5
415,GURRIED,,207.5,0.5
416,OSE,,208.0,0.5
417,TROOMLED,,208.5,0.5
418,NIR,,209.0,0.5
419,N,,209.5,0.5
420,[16],,210.0,0.5
421,THE,,210.5,0.5
422,CLOUDS,,211.0,0.5
423,BULGED,,211.5,0.5
424,DOWNWARD,,212.0,0.5
425,AND,,212.5,0.5
426,BURST,,213.0,0.5
427,SUDDENLY,,213.5,0.5
428,INTO,,214.0,0.5
429,A,,214.5,0.5
430,GREAT,,215.0,0.5
431,BLACK,,215.5,0.5
432,FUNNEL,,216.0,0.5
433,S,,216.5,0.5
434,[17],,217.0,0.5
435,THIS,,217.5,0.5
436,WILL,,218.0,0.5
437,HELP,,218.5,0.5
438,HIM,,219.0,0.5
439,TO,,219.5,0.5
440,GET,,220.0,0.5
441,OUT,,220.5,0.5
442,OF,,221.0,0.5
443,HIS,,221.5,0.5
444,LITTLE,,222.0,0.5
445,TACKLE,,222.5,0.5
446,SHOP,,223.0,0.5
447,S,,223.5,0.5
448,[18],,224.0,0.5
449,DOWN,,224.5,0.5
450,THE,,225.0,0.5
451,TREE,,225.5,0.5
452,HE,,226.0,0.5
453,SCRAMBLED,,226.5,0.5
454,AND,,227.0,0.5
455,KNELT,,227.5,0.5
456,AT,,228.0,0.5
457,THE,,228.5,0.5
458,EDGE,,229.0,0.5
459,OF,,229.5,0.5
460,FOLIAGE,,230.0,0.5
461,S,,230.5,0.5
462,[16],,231.0,0.5
463,KUYTO,,231.5,0.5
464,OS,,232.0,0.5
465,REE,,232.5,0.5
466,ONCEINE,,233.0,0.5
467,COTITOT,,233.5,0.5
468,OY,,234.0,0.5
469,JOBON,,234.5,0.5
470,OSE,,235.0,0.5
471,STULL,,235.5,0.5
472,OTS,,236.0,0.5
473,CEDDUROL,,236.5,0.5
474,CISTRE,,237.0,0.5
475,N,,237.5,0.5
476,[17],,238.0,0.5
477,OT,,238.5,0.5
478,OS,,239.0,0.5
479,VODY,,239.5,0.5
480,MUME,,240.0,0.5
481,O,,240.5,0.5
482,MOLLER,,241.0,0.5
483,OY,,241.5,0.5
484,BOACHING,,242.0,0.5
485,REE,,242.5,0.5
486,FEELLOTIONS,,243.0,0.5
487,OY,,243.5,0.5
488,CORCORITY,,244.0,0.5
489,N,,244.5,0.5
490,[18],,245.0,0.5
491,REE,,245.5,0.5
492,ILEDES,,246.0,0.5
493,CAG,,246.5,0.5
494,OOTIPY,,247.0,0.5
495,NE,,247.5,0.5
496,OLYEURS,,248.0,0.5
497,PITH,,248.5,0.5
498,O,,249.0,0.5
499,HISK,,249.5,0.5
500,DETRIE,,250.0,0.5
501,OY,,250.5,0.5
502,IMMOROCY,,251.0,0.5
503,N,,251.5,0.5
504,[19],,252.0,0.5
505,PLIN,,252.5,0.5
506,HOMMENED,,253.0,0.5
507,EN,,253.5,0.5
508,REE,,254.0,0.5
509,MIGGLE,,254.5,0.5
510,OY,,255.0,0.5
511,O,,255.5,0.5
512,DRULLING,,256.0,0.5
513,BUIT,,256.5,0.5
514,PITH,,257.0,0.5
515,OLUPSER,,257.5,0.5
516,BUR,,258.0,0.5
517,N,,258.5,0.5
518,[20],,259.0,0.5
519,WINSHAN,,259.5,0.5
520,TEEK,,260.0,0.5
521,REE,,260.5,0.5
522,CLORNEDBRUNK,,261.0,0.5
523,OOT,,261.5,0.5
524,OY,,262.0,0.5
525,REE,,262.5,0.5
526,PLUSET,,263.0,0.5
527,OSE,,263.5,0.5
528,WEWS,,264.0,0.5
529,RO,,264.5,0.5
530,WOFT,,265.0,0.5
531,N,,265.5,0.5
532,[21],,266.0,0.5
533,REE,,266.5,0.5
534,LOUF,,267.0,0.5
535,DROCKS,,267.5,0.5
536,ONK,,268.0,0.5
537,EN,,268.5,0.5
538,WRO,,269.0,0.5
539,TOGERS,,269.5,0.5
540,OSE,,270.0,0.5
541,ONK,,270.5,0.5
542,VOT,,271.0,0.5
543,RURTORED,,271.5,0.5
544,LOGELLER,,272.0,0.5
545,N,,272.5,0.5
546,[19],,273.0,0.5
547,HIS,,273.5,0.5
548,YEARS,,274.0,0.5
549,OF,,274.5,0.5
550,CAMPAIGNING,,275.0,0.5
551,HAD,,275.5,0.5
552,TAUGHT,,276.0,0.5
553,HIM,,276.5,0.5
554,THE,,277.0,0.5
555,VALUE,,277.5,0.5
556,OF,,278.0,0.5
557,WATER,,278.5,0.5
558,DISCIPLINE,,279.0,0.5
559,S,,279.5,0.5
560,[20],,280.0,0.5
561,HE,,280.5,0.5
562,REMINDED,,281.0,0.5
563,MATSUO,,281.5,0.5
564,OF,,282.0,0.5
565,A,,282.5,0.5
566,SIMILAR,,283.0,0.5
567,THING,,283.5,0.5
568,HE,,284.0,0.5
569,HAD,,284.5,0.5
570,WITNESSED,,285.0,0.5
571,IN,,285.5,0.5
572,CHINA,,286.0,0.5
573,S,,286.5,0.5
574,[21],,287.0,0.5
575,IN,,287.5,0.5
576,THE,,288.0,0.5
577,CENTER,,288.5,0.5
578,OF,,289.0,0.5
579,HIS,,289.5,0.5
580,BRILLIANT,,290.0,0.5
581,CURLS,,290.5,0.5
582,SAT,,291.0,0.5
583,A,,291.5,0.5
584,SMALL,,292.0,0.5
585,BLACK,,292.5,0.5
586,SKULLCAP,,293.0,0.5
587,S,,293.5,0.5
588,[22],,294.0,0.5
589,HE,,294.5,0.5
590,HAD,,295.0,0.5
591,SHUT,,295.5,0.5
592,HIS,,296.0,0.5
593,DOOR,,296.5,0.5
594,WITH,,297.0,0.5
595,THE,,297.5,0.5
596,BRASS,,298.0,0.5
597,NUMBER,,298.5,0.5
598,SCREWED,,299.0,0.5
599,TO,,299.5,0.5
600,IT,,300.0,0.5
601,S,,300.5,0.5
602,[23],,301.0,0.5
603,I,,301.5,0.5
604,FIGURED,,302.0,0.5
605,I,,302.5,0.5
606,COULD,,303.0,0.5
607,STAND,,303.5,0.5
608,PRACTICALLY,,304.0,0.5
609,ANYTHING,,304.5,0.5
610,FOR,,305.0,0.5
611,A,,305.5,0.5
612,COUPLE,,306.0,0.5
613,OF,,306.5,0.5
614,WEEKS,,307.0,0.5
615,S,,307.5,0.5
616,[24],,308.0,0.5
617,DAVE,,308.5,0.5
618,SHRUGGED,,309.0,0.5
619,ON,,309.5,0.5
620,HIS,,310.0,0.5
621,SPORTS,,310.5,0.5
622,COAT,,311.0,0.5
623,AND,,311.5,0.5
624,PICKED,,312.0,0.5
625,UP,,312.5,0.5
626,THE,,313.0,0.5
627,CAR,,313.5,0.5
628,KEYS,,314.0,0.5
629,S,,314.5,0.5
630,[22],,315.0,0.5
631,E,,315.5,0.5
632,WAM,,316.0,0.5
633,HERN,,316.5,0.5
634,UD,,317.0,0.5
635,O,,317.5,0.5
636,BIP,,318.0,0.5
637,FLUING,,318.5,0.5
638,RO,,319.0,0.5
639,MAMP,,319.5,0.5
640,O,,320.0,0.5
641,LELD,,320.5,0.5
642,RURN,,321.0,0.5
643,N,,321.5,0.5
644,[23],,322.0,0.5
645,HU,,322.5,0.5
646,SHOLLED,,323.0,0.5
647,REE,,323.5,0.5
648,STOGS,,324.0,0.5
649,URNER,,324.5,0.5
650,OSE,,325.0,0.5
651,LOGELLER,,325.5,0.5
652,QUEY,,326.0,0.5
653,WEWS,,326.5,0.5
654,INNI,,327.0,0.5
655,REE,,327.5,0.5
656,STOREBOOM,,328.0,0.5
657,N,,328.5,0.5
658,[24],,329.0,0.5
659,AULER,,329.5,0.5
660,FROT,,330.0,0.5
661,HU,,330.5,0.5
662,WAM,,331.0,0.5
663,NUDER,,331.5,0.5
664,WROWN,,332.0,0.5
665,RO,,332.5,0.5
666,MUN,,333.0,0.5
667,OM,,333.5,0.5
668,ENON,,334.0,0.5
669,WASK,,334.5,0.5
670,FARS,,335.0,0.5
671,N,,335.5,0.5
