,word,format,onset,duration
0,[1],,0.0,0.5
1,HU,,0.5,0.5
2,GOVES,,1.0,0.5
3,BRUDIT,,1.5,0.5
4,FOM,,2.0,0.5
5,REE,,2.5,0.5
6,STOCOTION,,3.0,0.5
7,RO,,3.5,0.5
8,HUS,,4.0,0.5
9,NER,,4.5,0.5
10,OUTLEOF,,5.0,0.5
11,OD,,5.5,0.5
12,LIRR,,6.0,0.5
13,N,,6.5,0.5
14,[2],,7.0,0.5
15,NIED,,7.5,0.5
16,FOM,,8.0,0.5
17,NEVESRY,,8.5,0.5
18,MAK,,9.0,0.5
19,NE,,9.5,0.5
20,O,,10.0,0.5
21,SYMELOM,,10.5,0.5
22,OY,,11.0,0.5
23,CEDDUROL,,11.5,0.5
24,FOTOLMS,,12.0,0.5
25,OSE,,12.5,0.5
26,INCRECORITY,,13.0,0.5
27,N,,13.5,0.5
28,[3],,14.0,0.5
29,HU,,14.5,0.5
30,SUT,,15.0,0.5
31,UD,,15.5,0.5
32,OSE,,16.0,0.5
33,WONCHED,,16.5,0.5
34,AR,,17.0,0.5
35,QUEY,,17.5,0.5
36,PUBBED,,18.0,0.5
37,THULPELVES,,18.5,0.5
38,IBER,,19.0,0.5
39,REE,,19.5,0.5
40,STURN,,20.0,0.5
41,N,,20.5,0.5
42,[1],,21.0,0.5
43,THEY,,21.5,0.5
44,ARE,,22.0,0.5
45,PUTTING,,22.5,0.5
46,STRONG,,23.0,0.5
47,PRESSURE,,23.5,0.5
48,ON,,24.0,0.5
49,THEIR,,24.5,0.5
50,POLICE,,25.0,0.5
51,DEPARTMENTS,,25.5,0.5
52,TO,,26.0,0.5
53,KEEP,,26.5,0.5
54,ORDER,,27.0,0.5
55,S,,27.5,0.5
56,[2],,28.0,0.5
57,SENATOR,,28.5,0.5
58,HUBERT,,29.0,0.5
59,HUMPHREY,,29.5,0.5
60,IS,,30.0,0.5
61,OBVIOUSLY,,30.5,0.5
62,A,,31.0,0.5
63,MAN,,31.5,0.5
64,WITH,,32.0,0.5
65,A,,32.5,0.5
66,SOUL,,33.0,0.5
67,AND,,33.5,0.5
68,HEART,,34.0,0.5
69,S,,34.5,0.5
70,[3],,35.0,0.5
71,I,,35.5,0.5
72,FOLLOWED,,36.0,0.5
73,THEM,,36.5,0.5
74,IN,,37.0,0.5
75,THE,,37.5,0.5
76,JEEP,,38.0,0.5
77,AND,,38.5,0.5
78,NOW,,39.0,0.5
79,THEY,,39.5,0.5
80,DID,,40.0,0.5
81,NOT,,40.5,0.5
82,CARE,,41.0,0.5
83,S,,41.5,0.5
84,[4],,42.0,0.5
85,SOMETIMES,,42.5,0.5
86,I,,43.0,0.5
87,GUESSED,,43.5,0.5
88,IT,,44.0,0.5
89,WAS,,44.5,0.5
90,BECAUSE,,45.0,0.5
91,THE,,45.5,0.5
92,RAIN,,46.0,0.5
93,SQUALL,,46.5,0.5
94,HAD,,47.0,0.5
95,CHANGED,,47.5,0.5
96,DIRECTION,,48.0,0.5
97,S,,48.5,0.5
98,[5],,49.0,0.5
99,THIS,,49.5,0.5
100,MATERIAL,,50.0,0.5
101,FLUORESCES,,50.5,0.5
102,UNDER,,51.0,0.5
103,ULTRAVIOLET,,51.5,0.5
104,LIGHT,,52.0,0.5
105,WHICH,,52.5,0.5
106,FACILITATES,,53.0,0.5
107,ITS,,53.5,0.5
108,SAMPLING,,54.0,0.5
109,AND,,54.5,0.5
110,ASSESSMENT,,55.0,0.5
111,S,,55.5,0.5
112,[6],,56.0,0.5
113,HE,,56.5,0.5
114,IS,,57.0,0.5
115,BETTER,,57.5,0.5
116,FITTED,,58.0,0.5
117,TO,,58.5,0.5
118,PERFORM,,59.0,0.5
119,HIS,,59.5,0.5
120,SOCIAL,,60.0,0.5
121,LIFE,,60.5,0.5
122,AMONG,,61.0,0.5
123,HIS,,61.5,0.5
124,FELLOWS,,62.0,0.5
125,S,,62.5,0.5
126,[4],,63.0,0.5
127,HU,,63.5,0.5
128,LELD,,64.0,0.5
129,REE,,64.5,0.5
130,RERE,,65.0,0.5
131,OY,,65.5,0.5
132,HUS,,66.0,0.5
133,SNINGS,,66.5,0.5
134,OSE,,67.0,0.5
135,LEFORNED,,67.5,0.5
136,RO,,68.0,0.5
137,REE,,68.5,0.5
138,LOMPY,,69.0,0.5
139,N,,69.5,0.5
140,[5],,70.0,0.5
141,SHONESE,,70.5,0.5
142,OSE,,71.0,0.5
143,ENCIOD,,71.5,0.5
144,MERSHOCKS,,72.0,0.5
145,OTHISS,,72.5,0.5
146,REE,,73.0,0.5
147,STREOP,,73.5,0.5
148,DERE,,74.0,0.5
149,SLOSSING,,74.5,0.5
150,FREIR,,75.0,0.5
151,STOUL,,75.5,0.5
152,CHOTTERS,,76.0,0.5
153,N,,76.5,0.5
154,[6],,77.0,0.5
155,O,,77.5,0.5
156,CORGLE,,78.0,0.5
157,OTIVES,,78.5,0.5
158,EN,,79.0,0.5
159,REE,,79.5,0.5
160,ORF,,80.0,0.5
161,DIRIDES,,80.5,0.5
162,OTS,,81.0,0.5
163,FLOPE,,81.5,0.5
164,OSE,,82.0,0.5
165,SMOLE,,82.5,0.5
166,UGWONDS,,83.0,0.5
167,N,,83.5,0.5
168,[7],,84.0,0.5
169,FROM,,84.5,0.5
170,THE,,85.0,0.5
171,OUTSIDE,,85.5,0.5
172,IT,,86.0,0.5
173,WAS,,86.5,0.5
174,AN,,87.0,0.5
175,ORDINARY,,87.5,0.5
176,ENOUGH,,88.0,0.5
177,HOUSE,,88.5,0.5
178,OF,,89.0,0.5
179,THE,,89.5,0.5
180,GENTRY,,90.0,0.5
181,S,,90.5,0.5
182,[8],,91.0,0.5
183,SHE,,91.5,0.5
184,EXPERIENCED,,92.0,0.5
185,NONE,,92.5,0.5
186,OF,,93.0,0.5
187,THE,,93.5,0.5
188,SUSPENSE,,94.0,0.5
189,OF,,94.5,0.5
190,SOME,,95.0,0.5
191,POOR,,95.5,0.5
192,STRANGER,,96.0,0.5
193,SELLING,,96.5,0.5
194,ENCYCLOPEDIAS,,97.0,0.5
195,S,,97.5,0.5
196,[9],,98.0,0.5
197,WHETHER,,98.5,0.5
198,HE,,99.0,0.5
199,SANG,,99.5,0.5
200,WELL,,100.0,0.5
201,OR,,100.5,0.5
202,BADLY,,101.0,0.5
203,HAD,,101.5,0.5
204,NOTHING,,102.0,0.5
205,TO,,102.5,0.5
206,DO,,103.0,0.5
207,WITH,,103.5,0.5
208,IT,,104.0,0.5
209,S,,104.5,0.5
210,[7],,105.0,0.5
211,PLIN,,105.5,0.5
212,DINMIRMITY,,106.0,0.5
213,REDNEFENTS,,106.5,0.5
214,O,,107.0,0.5
215,DITCEROTE,,107.5,0.5
216,OLLEMPT,,108.0,0.5
217,RO,,108.5,0.5
218,STOFILOLS,,109.0,0.5
219,O,,109.5,0.5
220,TORMFESSLY,,110.0,0.5
221,URCHADLE,,110.5,0.5
222,ERCIRULMENT,,111.0,0.5
223,N,,111.5,0.5
224,[8],,112.0,0.5
225,REE,,112.5,0.5
226,UNTER,,113.0,0.5
227,POGRENS,,113.5,0.5
228,DERE,,114.0,0.5
229,MOXI,,114.5,0.5
230,CLIRERS,,115.0,0.5
231,OSE,,115.5,0.5
232,ADE,,116.0,0.5
233,STUBONTS,,116.5,0.5
234,OSE,,117.0,0.5
235,WROLL,,117.5,0.5
236,FRILLKOOPERS,,118.0,0.5
237,N,,118.5,0.5
238,[9],,119.0,0.5
239,MIMP,,119.5,0.5
240,POFFED,,120.0,0.5
241,SCROUGH,,120.5,0.5
242,OT,,121.0,0.5
243,OSE,,121.5,0.5
244,MOFFS,,122.0,0.5
245,LOWOND,,122.5,0.5
246,REE,,123.0,0.5
247,DORD,,123.5,0.5
248,MEMP,,124.0,0.5
249,OY,,124.5,0.5
250,HURTES,,125.0,0.5
251,N,,125.5,0.5
252,[10],,126.0,0.5
253,HE,,126.5,0.5
254,WENT,,127.0,0.5
255,TO,,127.5,0.5
256,THE,,128.0,0.5
257,FRONT,,128.5,0.5
258,DOOR,,129.0,0.5
259,AND,,129.5,0.5
260,OPENED,,130.0,0.5
261,IT,,130.5,0.5
262,AND,,131.0,0.5
263,LOOKED,,131.5,0.5
264,IN,,132.0,0.5
265,S,,132.5,0.5
266,[11],,133.0,0.5
267,HE,,133.5,0.5
268,CAUGHT,,134.0,0.5
269,HER,,134.5,0.5
270,BY,,135.0,0.5
271,AN,,135.5,0.5
272,ARM,,136.0,0.5
273,AND,,136.5,0.5
274,HELPED,,137.0,0.5
275,HER,,137.5,0.5
276,INTO,,138.0,0.5
277,THE,,138.5,0.5
278,KITCHEN,,139.0,0.5
279,S,,139.5,0.5
280,[12],,140.0,0.5
281,HE,,140.5,0.5
282,TOLD,,141.0,0.5
283,HIMSELF,,141.5,0.5
284,HE,,142.0,0.5
285,HAD,,142.5,0.5
286,NEVER,,143.0,0.5
287,SEEN,,143.5,0.5
288,TWO,,144.0,0.5
289,PEOPLE,,144.5,0.5
290,EAT,,145.0,0.5
291,SO,,145.5,0.5
292,MUCH,,146.0,0.5
293,S,,146.5,0.5
294,[10],,147.0,0.5
295,ET,,147.5,0.5
296,ORKS,,148.0,0.5
297,O,,148.5,0.5
298,BUPY,,149.0,0.5
299,OY,,149.5,0.5
300,DEGS,,150.0,0.5
301,WAM,,150.5,0.5
302,SWIPPING,,151.0,0.5
303,OSE,,151.5,0.5
304,SNURVING,,152.0,0.5
305,OTOUSE,,152.5,0.5
306,HOM,,153.0,0.5
307,N,,153.5,0.5
308,[11],,154.0,0.5
309,OP,,154.5,0.5
310,OTFOCTIVE,,155.0,0.5
311,SCOSS,,155.5,0.5
312,WAM,,156.0,0.5
313,DEVESYSMS,,156.5,0.5
314,FOM,,157.0,0.5
315,RUMING,,157.5,0.5
316,SCHOAT,,158.0,0.5
317,NEOCHNOURPOODS,,158.5,0.5
318,TROR,,159.0,0.5
319,BLESE,,159.5,0.5
320,ROLO,,160.0,0.5
321,N,,160.5,0.5
322,[12],,161.0,0.5
323,DE,,161.5,0.5
324,SPIND,,162.0,0.5
325,MILLOOTS,,162.5,0.5
326,OY,,163.0,0.5
327,PELLORS,,163.5,0.5
328,ELKBY,,164.0,0.5
329,YLPH,,164.5,0.5
330,OD,,165.0,0.5
331,FORBONE,,165.5,0.5
332,TUNKERS,,166.0,0.5
333,OSE,,166.5,0.5
334,SOOSTGOYERS,,167.0,0.5
335,N,,167.5,0.5
336,[13],,168.0,0.5
337,HU,,168.5,0.5
338,SUT,,169.0,0.5
339,DOIL,,169.5,0.5
340,OD,,170.0,0.5
341,OP,,170.5,0.5
342,ORN,,171.0,0.5
343,BOF,,171.5,0.5
344,OSE,,172.0,0.5
345,FOCECKED,,172.5,0.5
346,OD,,173.0,0.5
347,REE,,173.5,0.5
348,TROPLEN,,174.0,0.5
349,N,,174.5,0.5
350,[14],,175.0,0.5
351,PLIN,,175.5,0.5
352,OS,,176.0,0.5
