,word,format,onset,duration
0,[1],,0.0,0.5
1,TODAY,,0.5,0.5
2,WHOLE,,1.0,0.5
3,GRAINS,,1.5,0.5
4,ARE,,2.0,0.5
5,FRESHLY,,2.5,0.5
6,GROUND,,3.0,0.5
7,EVERY,,3.5,0.5
8,DAY,,4.0,0.5
9,AND,,4.5,0.5
10,BAKED,,5.0,0.5
11,INTO,,5.5,0.5
12,BREAD,,6.0,0.5
13,S,,6.5,0.5
14,[2],,7.0,0.5
15,THE,,7.5,0.5
16,RIGHT,,8.0,0.5
17,TO,,8.5,0.5
18,LEAVE,,9.0,0.5
19,LEGACIES,,9.5,0.5
20,SHOULD,,10.0,0.5
21,BE,,10.5,0.5
22,SUBSTANTIALLY,,11.0,0.5
23,REDUCED,,11.5,0.5
24,AND,,12.0,0.5
25,ULTIMATELY,,12.5,0.5
26,ELIMINATED,,13.0,0.5
27,S,,13.5,0.5
28,[3],,14.0,0.5
29,DEANS,,14.5,0.5
30,CAN,,15.0,0.5
31,FORM,,15.5,0.5
32,AN,,16.0,0.5
33,IMPORTANT,,16.5,0.5
34,BRIDGE,,17.0,0.5
35,BETWEEN,,17.5,0.5
36,THE,,18.0,0.5
37,PRESIDENT,,18.5,0.5
38,AND,,19.0,0.5
39,THE,,19.5,0.5
40,FACULTY,,20.0,0.5
41,S,,20.5,0.5
42,[1],,21.0,0.5
43,MARTER,,21.5,0.5
44,WEPDEGS,,22.0,0.5
45,OSE,,22.5,0.5
46,HUS,,23.0,0.5
47,CLIDE,,23.5,0.5
48,WIST,,24.0,0.5
49,LIMS,,24.5,0.5
50,EN,,25.0,0.5
51,HUS,,25.5,0.5
52,LALE,,26.0,0.5
53,FATEST,,26.5,0.5
54,HOULE,,27.0,0.5
55,N,,27.5,0.5
56,[2],,28.0,0.5
57,FLIUR,,28.5,0.5
58,RO,,29.0,0.5
59,FROT,,29.5,0.5
60,HU,,30.0,0.5
61,WAM,,30.5,0.5
62,ENGEFIATED,,31.0,0.5
63,PITH,,31.5,0.5
64,LONK,,32.0,0.5
65,ESBONT,,32.5,0.5
66,OLEJURSITY,,33.0,0.5
67,EN,,33.5,0.5
68,BREEKDON,,34.0,0.5
69,N,,34.5,0.5
70,[3],,35.0,0.5
71,REE,,35.5,0.5
72,ORQUINTRA,,36.0,0.5
73,WAM,,36.5,0.5
74,ODMIEITLY,,37.0,0.5
75,OD,,37.5,0.5
76,OTS,,38.0,0.5
77,MUSTLE,,38.5,0.5
78,OSE,,39.0,0.5
79,OT,,39.5,0.5
80,PLOWLS,,40.0,0.5
81,MOGS,,40.5,0.5
82,RETLENNINGLY,,41.0,0.5
83,N,,41.5,0.5
84,[4],,42.0,0.5
85,REE,,42.5,0.5
86,SOVEAL,,43.0,0.5
87,OSE,,43.5,0.5
88,CRYCROCETICAL,,44.0,0.5
89,CONSOPRASSES,,44.5,0.5
90,OY,,45.0,0.5
91,PLIN,,45.5,0.5
92,CONTITOG,,46.0,0.5
93,RO,,46.5,0.5
94,AFFAKE,,47.0,0.5
95,REE,,47.5,0.5
96,ETOA,,48.0,0.5
97,N,,48.5,0.5
98,[5],,49.0,0.5
99,LUT,,49.5,0.5
100,O,,50.0,0.5
101,SOTHPROT,,50.5,0.5
102,HORE,,51.0,0.5
103,DETINCTS,,51.5,0.5
104,AMILYVOS,,52.0,0.5
105,OY,,52.5,0.5
