,word,format,onset,duration
0,[1],,0.0,0.5
1,REPPIES,,0.5,0.5
2,OY,,1.0,0.5
3,PLIN,,1.5,0.5
4,TUTTER,,2.0,0.5
5,DERE,,2.5,0.5
6,MOMP,,3.0,0.5
7,IMICTOBLE,,3.5,0.5
8,RO,,4.0,0.5
9,REE,,4.5,0.5
10,PRELT,,5.0,0.5
11,OSE,,5.5,0.5
12,PEMLIC,,6.0,0.5
13,N,,6.5,0.5
14,[2],,7.0,0.5
15,NER,,7.5,0.5
16,UCUOS,,8.0,0.5
17,FOM,,8.5,0.5
18,IMBRIGING,,9.0,0.5
19,TIWRITION,,9.5,0.5
20,CADE,,10.0,0.5
21,PITH,,10.5,0.5
22,REE,,11.0,0.5
23,CHOVY,,11.5,0.5
24,OY,,12.0,0.5
25,SORD,,12.5,0.5
26,CHOOTMENT,,13.0,0.5
27,N,,13.5,0.5
28,[3],,14.0,0.5
29,QUEY,,14.5,0.5
30,ONK,,15.0,0.5
31,FLUING,,15.5,0.5
32,RO,,16.0,0.5
33,DIDORSTROTE,,16.5,0.5
34,SOTH,,17.0,0.5
35,DETLERENT,,17.5,0.5
36,WOSS,,18.0,0.5
37,OY,,18.5,0.5
38,FOUCHING,,19.0,0.5
39,OSE,,19.5,0.5
40,FOURNING,,20.0,0.5
41,N,,20.5,0.5
42,[1],,21.0,0.5
43,IT,,21.5,0.5
44,BECAME,,22.0,0.5
45,SO,,22.5,0.5
46,MONOTONOUS,,23.0,0.5
47,AS,,23.5,0.5
48,TO,,24.0,0.5
49,SEEM,,24.5,0.5
50,A,,25.0,0.5
51,PART,,25.5,0.5
52,OF,,26.0,0.5
53,THE,,26.5,0.5
54,QUIETNESS,,27.0,0.5
55,S,,27.5,0.5
56,[2],,28.0,0.5
57,I,,28.5,0.5
58,WAS,,29.0,0.5
59,GRATEFUL,,29.5,0.5
60,FOR,,30.0,0.5
61,THEIR,,30.5,0.5
62,INSIGHT,,31.0,0.5
63,INTO,,31.5,0.5
64,MY,,32.0,0.5
65,NEED,,32.5,0.5
66,FOR,,33.0,0.5
67,THIS,,33.5,0.5
68,EXPERIENCE,,34.0,0.5
69,S,,34.5,0.5
70,[3],,35.0,0.5
71,MANY,,35.5,0.5
72,OF,,36.0,0.5
73,THEM,,36.5,0.5
74,HAVE,,37.0,0.5
75,DRIFTED,,37.5,0.5
76,INTO,,38.0,0.5
77,THE,,38.5,0.5
78,CITIES,,39.0,0.5
79,AND,,39.5,0.5
80,TOWNS,,40.0,0.5
81,AND,,40.5,0.5
82,SEAPORTS,,41.0,0.5
83,S,,41.5,0.5
84,[4],,42.0,0.5
85,LET,,42.5,0.5
86,US,,43.0,0.5
87,SPECULATE,,43.5,0.5
88,A,,44.0,0.5
89,LITTLE,,44.5,0.5
90,ON,,45.0,0.5
91,THE,,45.5,0.5
92,MAXIMUM,,46.0,0.5
93,SIZE,,46.5,0.5
94,OF,,47.0,0.5
95,THE,,47.5,0.5
96,ANACONDA,,48.0,0.5
97,S,,48.5,0.5
98,[5],,49.0,0.5
99,THIS,,49.5,0.5
100,WE,,50.0,0.5
101,BELIEVE,,50.5,0.5
102,WILL,,51.0,0.5
103,SUBSTANTIALLY,,51.5,0.5
104,BROADEN,,52.0,0.5
105,THE,,52.5,0.5
106,POTENTIAL,,53.0,0.5
107,MARKET,,53.5,0.5
108,FOR,,54.0,0.5
109,THE,,54.5,0.5
110,EQUIPMENT,,55.0,0.5
111,S,,55.5,0.5
112,[6],,56.0,0.5
113,HISTORIANS,,56.5,0.5
114,HAVE,,57.0,0.5
115,HAD,,57.5,0.5
116,TWO,,58.0,0.5
117,REASONS,,58.5,0.5
118,FOR,,59.0,0.5
119,PERSISTING,,59.5,0.5
120,SO,,60.0,0.5
121,LONG,,60.5,0.5
122,IN,,61.0,0.5
123,THEIR,,61.5,0.5
124,INVESTIGATIONS,,62.0,0.5
125,S,,62.5,0.5
126,[4],,63.0,0.5
127,E,,63.5,0.5
128,GORTED,,64.0,0.5
129,RO,,64.5,0.5
130,HERF,,65.0,0.5
131,SU,,65.5,0.5
132,FROT,,66.0,0.5
133,DE,,66.5,0.5
134,COURN,,67.0,0.5
135,FIMP,,67.5,0.5
136,TICE,,68.0,0.5
137,RO,,68.5,0.5
138,SCOY,,69.0,0.5
139,N,,69.5,0.5
140,[5],,70.0,0.5
141,QUEY,,70.5,0.5
142,ONK,,71.0,0.5
143,REE,,71.5,0.5
144,MOGS,,72.0,0.5
145,BOOLTISUL,,72.5,0.5
146,POME,,73.0,0.5
147,OY,,73.5,0.5
148,FROT,,74.0,0.5
149,TOTTLE,,74.5,0.5
150,PIEKS,,75.0,0.5
151,OY,,75.5,0.5
