,word,format,onset,duration
0,[1],,0.0,0.5
1,OT,,0.5,0.5
2,BEPIME,,1.0,0.5
3,SU,,1.5,0.5
4,MOMOCOLOUS,,2.0,0.5
5,AR,,2.5,0.5
6,RO,,3.0,0.5
7,REEM,,3.5,0.5
8,O,,4.0,0.5
9,POME,,4.5,0.5
10,OY,,5.0,0.5
11,REE,,5.5,0.5
12,CLIOLNESS,,6.0,0.5
13,N,,6.5,0.5
14,[2],,7.0,0.5
15,E,,7.5,0.5
16,WAM,,8.0,0.5
17,GRORETUL,,8.5,0.5
18,FOM,,9.0,0.5
19,FREIR,,9.5,0.5
20,INSOLLS,,10.0,0.5
21,INNI,,10.5,0.5
22,HY,,11.0,0.5
23,NIED,,11.5,0.5
24,FOM,,12.0,0.5
25,PLIN,,12.5,0.5
26,ENVENIESTS,,13.0,0.5
27,N,,13.5,0.5
28,[3],,14.0,0.5
29,PORY,,14.5,0.5
30,OY,,15.0,0.5
31,FREM,,15.5,0.5
32,HABS,,16.0,0.5
33,TRUFTED,,16.5,0.5
34,INNI,,17.0,0.5
35,REE,,17.5,0.5
36,CERIES,,18.0,0.5
37,OSE,,18.5,0.5
38,TORMS,,19.0,0.5
39,OSE,,19.5,0.5
40,SEOBOLES,,20.0,0.5
41,N,,20.5,0.5
42,[1],,21.0,0.5
43,HE,,21.5,0.5
44,GIVES,,22.0,0.5
45,CREDIT,,22.5,0.5
46,FOR,,23.0,0.5
47,THE,,23.5,0.5
48,PROMOTION,,24.0,0.5
49,TO,,24.5,0.5
50,HIS,,25.0,0.5
51,NEW,,25.5,0.5
52,OUTLOOK,,26.0,0.5
53,ON,,26.5,0.5
54,LIFE,,27.0,0.5
55,S,,27.5,0.5
56,[2],,28.0,0.5
57,NEED,,28.5,0.5
58,FOR,,29.0,0.5
59,NOVELTY,,29.5,0.5
60,MAY,,30.0,0.5
61,BE,,30.5,0.5
62,A,,31.0,0.5
63,SYMPTOM,,31.5,0.5
64,OF,,32.0,0.5
65,CULTURAL,,32.5,0.5
66,FATIGUE,,33.0,0.5
67,AND,,33.5,0.5
68,INSTABILITY,,34.0,0.5
69,S,,34.5,0.5
70,[3],,35.0,0.5
71,HE,,35.5,0.5
72,SAT,,36.0,0.5
73,UP,,36.5,0.5
74,AND,,37.0,0.5
75,WATCHED,,37.5,0.5
76,AS,,38.0,0.5
77,THEY,,38.5,0.5
78,PULLED,,39.0,0.5
79,THEMSELVES,,39.5,0.5
80,OVER,,40.0,0.5
81,THE,,40.5,0.5
82,STERN,,41.0,0.5
83,S,,41.5,0.5
84,[4],,42.0,0.5
85,HE,,42.5,0.5
86,LEFT,,43.0,0.5
87,THE,,43.5,0.5
88,REST,,44.0,0.5
89,OF,,44.5,0.5
90,HIS,,45.0,0.5
91,THINGS,,45.5,0.5
92,AND,,46.0,0.5
93,RETURNED,,46.5,0.5
94,TO,,47.0,0.5
95,THE,,47.5,0.5
96,LOBBY,,48.0,0.5
97,S,,48.5,0.5
98,[5],,49.0,0.5
99,CHINESE,,49.5,0.5
100,AND,,50.0,0.5
101,INDIAN,,50.5,0.5
102,MERCHANTS,,51.0,0.5
103,ACROSS,,51.5,0.5
104,THE,,52.0,0.5
105,STREET,,52.5,0.5
106,WERE,,53.0,0.5
107,SLAMMING,,53.5,0.5
108,THEIR,,54.0,0.5
109,STEEL,,54.5,0.5
110,SHUTTERS,,55.0,0.5
111,S,,55.5,0.5
112,[6],,56.0,0.5
113,A,,56.5,0.5
114,CANDLE,,57.0,0.5
115,ALIGHT,,57.5,0.5
116,IN,,58.0,0.5
117,THE,,58.5,0.5
118,AIR,,59.0,0.5
119,DIRECTS,,59.5,0.5
120,ITS,,60.0,0.5
121,FLAME,,60.5,0.5
122,AND,,61.0,0.5
123,SMOKE,,61.5,0.5
124,UPWARDS,,62.0,0.5
125,S,,62.5,0.5
126,[4],,63.0,0.5
127,HET,,63.5,0.5
128,UR,,64.0,0.5
129,BRIGULOTE,,64.5,0.5
130,O,,65.0,0.5
131,TOTTLE,,65.5,0.5
132,OD,,66.0,0.5
133,REE,,66.5,0.5
134,SUPIMUM,,67.0,0.5
135,RIZE,,67.5,0.5
136,OY,,68.0,0.5
137,REE,,68.5,0.5
138,ONOLUSSO,,69.0,0.5
139,N,,69.5,0.5
140,[5],,70.0,0.5
141,PLIN,,70.5,0.5
142,DE,,71.0,0.5
143,BERIECE,,71.5,0.5
144,WIST,,72.0,0.5
145,PELPRONTIOLLY,,72.5,0.5
146,SHEEDEN,,73.0,0.5
147,REE,,73.5,0.5
148,SOTENTEEL,,74.0,0.5
149,MONJET,,74.5,0.5
150,FOM,,75.0,0.5
151,REE,,75.5,0.5
152,ECREYMENT,,76.0,0.5
153,N,,76.5,0.5
154,[6],,77.0,0.5
155,BONSORIONS,,77.5,0.5
156,HABS,,78.0,0.5
157,HUD,,78.5,0.5
158,WRO,,79.0,0.5
159,REOBENS,,79.5,0.5
160,FOM,,80.0,0.5
161,PERLONTING,,80.5,0.5
162,SU,,81.0,0.5
163,LONK,,81.5,0.5
164,EN,,82.0,0.5
165,FREIR,,82.5,0.5
166,INGUFFIPOTIONS,,83.0,0.5
167,N,,83.5,0.5
168,[7],,84.0,0.5
169,THIS,,84.5,0.5
170,CONFORMITY,,85.0,0.5
171,REPRESENTS,,85.5,0.5
172,A,,86.0,0.5
173,DESPERATE,,86.5,0.5
174,ATTEMPT,,87.0,0.5
175,TO,,87.5,0.5
176,STABILIZE,,88.0,0.5
177,A,,88.5,0.5
178,HOPELESSLY,,89.0,0.5
179,UNSTABLE,,89.5,0.5
180,ENVIRONMENT,,90.0,0.5
181,S,,90.5,0.5
182,[8],,91.0,0.5
183,THE,,91.5,0.5
184,OTHER,,92.0,0.5
185,PATRONS,,92.5,0.5
186,WERE,,93.0,0.5
187,TAXI,,93.5,0.5
188,DRIVERS,,94.0,0.5
189,AND,,94.5,0.5
190,ART,,95.0,0.5
191,STUDENTS,,95.5,0.5
192,AND,,96.0,0.5
193,SMALL,,96.5,0.5
194,SHOPKEEPERS,,97.0,0.5
195,S,,97.5,0.5
196,[9],,98.0,0.5
197,MIKE,,98.5,0.5
198,PASSED,,99.0,0.5
199,THROUGH,,99.5,0.5
200,IT,,100.0,0.5
