,word,format,onset,duration
0,[1],,0.0,0.5
1,PART,,0.5,0.5
2,OF,,1.0,0.5
3,THE,,1.5,0.5
4,FAMILY,,2.0,0.5
5,SHOULD,,2.5,0.5
6,BE,,3.0,0.5
7,SLEEPING,,3.5,0.5
8,WHILE,,4.0,0.5
9,THE,,4.5,0.5
10,REST,,5.0,0.5
11,IS,,5.5,0.5
12,AWAKE,,6.0,0.5
13,S,,6.5,0.5
14,[2],,7.0,0.5
15,IT,,7.5,0.5
16,MADE,,8.0,0.5
17,NO,,8.5,0.5
18,DIFFERENCE,,9.0,0.5
19,THAT,,9.5,0.5
20,MOST,,10.0,0.5
21,EVIDENCE,,10.5,0.5
22,POINTS,,11.0,0.5
23,TO,,11.5,0.5
24,AN,,12.0,0.5
25,OPPOSITE,,12.5,0.5
26,CONCLUSION,,13.0,0.5
27,S,,13.5,0.5
28,[3],,14.0,0.5
29,SHIPMENTS,,14.5,0.5
30,OF,,15.0,0.5
31,ARMS,,15.5,0.5
32,FROM,,16.0,0.5
33,WESTERN,,16.5,0.5
34,COUNTRIES,,17.0,0.5
35,COULD,,17.5,0.5
36,SIMILARLY,,18.0,0.5
37,BE,,18.5,0.5
38,SEIZED,,19.0,0.5
39,AS,,19.5,0.5
40,CONTRABAND,,20.0,0.5
41,S,,20.5,0.5
42,[1],,21.0,0.5
43,HU,,21.5,0.5
44,ONVINTED,,22.0,0.5
45,O,,22.5,0.5
46,STOLT,,23.0,0.5
47,OY,,23.5,0.5
48,TOCOL,,24.0,0.5
49,ESDERTS,,24.5,0.5
50,OSE,,25.0,0.5
51,OY,,25.5,0.5
52,PORY,,26.0,0.5
53,ZOOSOUS,,26.5,0.5
54,GEMUNTEERS,,27.0,0.5
55,N,,27.5,0.5
56,[2],,28.0,0.5
57,HU,,28.5,0.5
58,BEXES,,29.0,0.5
59,HUS,,29.5,0.5
60,OPPREYES,,30.0,0.5
61,OD,,30.5,0.5
62,REE,,31.0,0.5
63,BEROOF,,31.5,0.5
64,FROT,,32.0,0.5
65,OTUBLING,,32.5,0.5
66,CAG,,33.0,0.5
67,LILLOW,,33.5,0.5
68,OTUBLING,,34.0,0.5
69,N,,34.5,0.5
70,[3],,35.0,0.5
71,EN,,35.5,0.5
72,PLIN,,36.0,0.5
73,SCOY,,36.5,0.5
74,TRORE,,37.0,0.5
75,DERE,,37.5,0.5
76,SU,,38.0,0.5
77,PORY,,38.5,0.5
78,STORECTEST,,39.0,0.5
79,OSE,,39.5,0.5
80,SU,,40.0,0.5
81,MUME,,40.5,0.5
82,DETIVE,,41.0,0.5
83,N,,41.5,0.5
84,[4],,42.0,0.5
85,DRUTTY,,42.5,0.5
86,OCTOILED,,43.0,0.5
87,REE,,43.5,0.5
88,PEVISION,,44.0,0.5
89,PITH,,44.5,0.5
90,INDETBERESTS,,45.0,0.5
91,OSE,,45.5,0.5
92,DOD,,46.0,0.5
93,VOT,,46.5,0.5
94,URTER,,47.0,0.5
95,REE,,47.5,0.5
96,ONCUMENCE,,48.0,0.5
97,N,,48.5,0.5
98,[5],,49.0,0.5
99,PLIN,,49.5,0.5
100,PROCEFOSE,,50.0,0.5
101,OS,,50.5,0.5
102,MUME,,51.0,0.5
103,HORE,,51.5,0.5
104,EGGOCTIVE,,52.0,0.5
105,FRON,,52.5,0.5
106,GOVING,,53.0,0.5
107,OOT,,53.5,0.5
108,O,,54.0,0.5
109,ROMMERSHIP,,54.5,0.5
110,MICKET,,55.0,0.5
111,N,,55.5,0.5
112,[6],,56.0,0.5
113,MOGS,,56.5,0.5
114,SCHOAT,,57.0,0.5
115,MYNTEMS,,57.5,0.5
116,LOGOY,,58.0,0.5
117,MOILBOIN,,58.5,0.5
118,O,,59.0,0.5
119,MYNTEM,,59.5,0.5
120,OY,,60.0,0.5
121,CUROCOTIVE,,60.5,0.5
122,REGONDS,,61.0,0.5
123,OY,,61.5,0.5
124,MUPOLS,,62.0,0.5
125,N,,62.5,0.5
126,[4],,63.0,0.5
127,I,,63.5,0.5
128,WANT,,64.0,0.5
129,TO,,64.5,0.5
130,CREATE,,65.0,0.5
131,THE,,65.5,0.5
132,IMPRESSION,,66.0,0.5
133,OF,,66.5,0.5
134,A,,67.0,0.5
135,COMPOUND,,67.5,0.5
136,FULL,,68.0,0.5
137,OF,,68.5,0.5
138,CHILDREN,,69.0,0.5
139,S,,69.5,0.5
140,[5],,70.0,0.5
141,KATE,,70.5,0.5
142,WENT,,71.0,0.5
143,BACK,,71.5,0.5
144,AND,,72.0,0.5
145,REMINDED,,72.5,0.5
146,THE,,73.0,0.5
147,KITCHEN,,73.5,0.5
148,WOMEN,,74.0,0.5
149,OF,,74.5,0.5
150,THE,,75.0,0.5
151,SUPPER,,75.5,0.5
152,PREPARATIONS,,76.0,0.5
153,S,,76.5,0.5
154,[6],,77.0,0.5
155,HE,,77.5,0.5
156,KNELT,,78.0,0.5
157,DOWN,,78.5,0.5
158,AT,,79.0,0.5
159,HIS,,79.5,0.5
160,BED,,80.0,0.5
161,AS,,80.5,0.5
162,LONG,,81.0,0.5
163,AS,,81.5,0.5
164,HE,,82.0,0.5
165,COULD,,82.5,0.5
166,KNEEL,,83.0,0.5
167,S,,83.5,0.5
168,[7],,84.0,0.5
169,SOLFORE,,84.5,0.5
170,HUD,,85.0,0.5
171,MOFFS,,85.5,0.5
172,BEOVES,,86.0,0.5
173,REE,,86.5,0.5
174,RORMS,,87.0,0.5
175,OY,,87.5,0.5
176,REE,,88.0,0.5
177,LIFFS,,88.5,0.5
178,TROR,,89.0,0.5
179,REE,,89.5,0.5
180,GONDOW,,90.0,0.5
181,N,,90.5,0.5
182,[8],,91.0,0.5
183,OSE,,91.5,0.5
184,PLIN,,92.0,0.5
185,WAM,,92.5,0.5
186,LEFOSE,,93.0,0.5
187,HU,,93.5,0.5
188,BENON,,94.0,0.5
189,RO,,94.5,0.5
190,SCOY,,95.0,0.5
191,HUS,,95.5,0.5
192,STISQUINGLY,,96.0,0.5
