,word,format,onset,duration
0,[1],,0.0,0.5
1,QUEY,,0.5,0.5
2,ONK,,1.0,0.5
3,PIMNING,,1.5,0.5
4,STROSH,,2.0,0.5
5,CHESTURE,,2.5,0.5
6,OD,,3.0,0.5
7,FREIR,,3.5,0.5
8,POLYLL,,4.0,0.5
9,DENIMPMENTS,,4.5,0.5
10,RO,,5.0,0.5
11,TEEP,,5.5,0.5
12,URPER,,6.0,0.5
13,N,,6.5,0.5
14,[2],,7.0,0.5
15,SANANAR,,7.5,0.5
16,HOGURT,,8.0,0.5
17,HULFSROY,,8.5,0.5
18,OS,,9.0,0.5
19,ODMIEITLY,,9.5,0.5
20,O,,10.0,0.5
21,LAN,,10.5,0.5
22,PITH,,11.0,0.5
23,O,,11.5,0.5
24,ROUL,,12.0,0.5
25,OSE,,12.5,0.5
26,HEALT,,13.0,0.5
27,N,,13.5,0.5
28,[3],,14.0,0.5
29,E,,14.5,0.5
30,FILLAWED,,15.0,0.5
31,FREM,,15.5,0.5
32,EN,,16.0,0.5
33,REE,,16.5,0.5
34,JOUP,,17.0,0.5
35,OSE,,17.5,0.5
36,NOY,,18.0,0.5
37,QUEY,,18.5,0.5
38,DOD,,19.0,0.5
39,VOT,,19.5,0.5
40,CANK,,20.0,0.5
41,N,,20.5,0.5
42,[1],,21.0,0.5
43,SOME,,21.5,0.5
44,OF,,22.0,0.5
45,THE,,22.5,0.5
46,ISLAND,,23.0,0.5
47,IS,,23.5,0.5
48,SAND,,24.0,0.5
49,AND,,24.5,0.5
50,IS,,25.0,0.5
51,NOT,,25.5,0.5
52,SUITABLE,,26.0,0.5
53,FOR,,26.5,0.5
54,LIVING,,27.0,0.5
55,S,,27.5,0.5
56,[2],,28.0,0.5
57,KNOWLEDGE,,28.5,0.5
58,GAINED,,29.0,0.5
59,FROM,,29.5,0.5
60,STUDYING,,30.0,0.5
61,EARTHQUAKE,,30.5,0.5
62,WAVES,,31.0,0.5
63,HAS,,31.5,0.5
64,BEEN,,32.0,0.5
65,APPLIED,,32.5,0.5
66,IN,,33.0,0.5
67,VARIOUS,,33.5,0.5
68,FIELDS,,34.0,0.5
69,S,,34.5,0.5
70,[3],,35.0,0.5
71,I,,35.5,0.5
72,THINK,,36.0,0.5
73,YOU,,36.5,0.5
74,ARE,,37.0,0.5
75,BEING,,37.5,0.5
76,UNFAIR,,38.0,0.5
77,TO,,38.5,0.5
78,TAKE,,39.0,0.5
79,THESE,,39.5,0.5
80,THINGS,,40.0,0.5
81,UP,,40.5,0.5
82,NOW,,41.0,0.5
83,S,,41.5,0.5
84,[4],,42.0,0.5
85,THE,,42.5,0.5
86,IMPORTANCE,,43.0,0.5
87,OF,,43.5,0.5
88,PARTICLE,,44.0,0.5
89,SIZE,,44.5,0.5
90,IN,,45.0,0.5
91,SUCH,,45.5,0.5
92,AEROSOLS,,46.0,0.5
93,HAS,,46.5,0.5
94,BEEN,,47.0,0.5
95,THOROUGHLY,,47.5,0.5
96,DEMONSTRATED,,48.0,0.5
97,S,,48.5,0.5
98,[5],,49.0,0.5
99,HE,,49.5,0.5
100,CONSIDERED,,50.0,0.5
101,OPENING,,50.5,0.5
102,A,,51.0,0.5
103,CAN,,51.5,0.5
104,OF,,52.0,0.5
105,BEER,,52.5,0.5
106,BUT,,53.0,0.5
107,VETOED,,53.5,0.5
108,THAT,,54.0,0.5
109,IDEA,,54.5,0.5
110,TOO,,55.0,0.5
111,S,,55.5,0.5
112,[6],,56.0,0.5
113,NONE,,56.5,0.5
114,OF,,57.0,0.5
115,US,,57.5,0.5
116,WAS,,58.0,0.5
117,AWARE,,58.5,0.5
118,THAT,,59.0,0.5
119,THE,,59.5,0.5
120,BIGGEST,,60.0,0.5
121,FIGHT,,60.5,0.5
122,WAS,,61.0,0.5
123,STILL,,61.5,0.5
124,AHEAD,,62.0,0.5
125,S,,62.5,0.5
126,[4],,63.0,0.5
127,SOMEMEMES,,63.5,0.5
128,E,,64.0,0.5
129,GUNESCO,,64.5,0.5
130,OT,,65.0,0.5
131,WAM,,65.5,0.5
132,BEBAVES,,66.0,0.5
133,REE,,66.5,0.5
134,TAIN,,67.0,0.5
135,SQUARS,,67.5,0.5
136,HUD,,68.0,0.5
137,CHAMMED,,68.5,0.5
138,DICONTION,,69.0,0.5
139,N,,69.5,0.5
140,[5],,70.0,0.5
141,PLIN,,70.5,0.5
142,MOPEGAAL,,71.0,0.5
143,STUOCIGNES,,71.5,0.5
144,URMER,,72.0,0.5
145,USTRAPIOMUM,,72.5,0.5
146,LIFFS,,73.0,0.5
147,WHISS,,73.5,0.5
148,BOMINITATES,,74.0,0.5
149,OTS,,74.5,0.5
150,MIMPLING,,75.0,0.5
151,OSE,,75.5,0.5
152,ASCISHMENT,,76.0,0.5
153,N,,76.5,0.5
154,[6],,77.0,0.5
155,HU,,77.5,0.5
156,OS,,78.0,0.5
157,BELLER,,78.5,0.5
158,TOTTED,,79.0,0.5
159,RO,,79.5,0.5
160,PERFAID,,80.0,0.5
161,HUS,,80.5,0.5
162,SOVEAL,,81.0,0.5
163,LIRR,,81.5,0.5
164,OBUNG,,82.0,0.5
165,HUS,,82.5,0.5
166,FULLORN,,83.0,0.5
167,N,,83.5,0.5
168,[7],,84.0,0.5
169,I,,84.5,0.5
170,WAS,,85.0,0.5
171,CONSTANTLY,,85.5,0.5
172,SEARCHING,,86.0,0.5
173,FOR,,86.5,0.5
174,CLUES,,87.0,0.5
175,AROUND,,87.5,0.5
176,THE,,88.0,0.5
177,NEIGHBORHOOD,,88.5,0.5
178,OF,,89.0,0.5
179,THE,,89.5,0.5
180,HALL,,90.0,0.5
181,S,,90.5,0.5
182,[8],,91.0,0.5
183,MONTGOMERY,,91.5,0.5
184,KNEW,,92.0,0.5
185,ALL,,92.5,0.5
186,THE,,93.0,0.5
187,NATIONAL,,93.5,0.5
188,LEADERS,,94.0,0.5
189,UP,,94.5,0.5
190,TO,,95.0,0.5
191,THE,,95.5,0.5
192,TIME,,96.0,0.5
193,OF,,96.5,0.5
194,KENNEDY,,97.0,0.5
195,S,,97.5,0.5
196,[9],,98.0,0.5
197,THE,,98.5,0.5
198,PURCHASERS,,99.0,0.5
199,REJECTED,,99.5,0.5
200,THE,,100.0,0.5
201,ORDER,,100.5,0.5
202,IN,,101.0,0.5
203,TWO,,101.5,0.5
204,LETTERS,,102.0,0.5
205,WRITTEN,,102.5,0.5
206,IN,,103.0,0.5
207,VIGOROUS,,103.5,0.5
208,TERMS,,104.0,0.5
209,S,,104.5,0.5
210,[7],,105.0,0.5
211,TROR,,105.5,0.5
212,REE,,106.0,0.5
213,OUTNODE,,106.5,0.5
214,OT,,107.0,0.5
