,word,format,onset,duration
0,[1],,0.0,0.5
1,JUST,,0.5,0.5
2,THE,,1.0,0.5
3,BAREST,,1.5,0.5
4,SUGGESTION,,2.0,0.5
5,OF,,2.5,0.5
6,A,,3.0,0.5
7,HEEL,,3.5,0.5
8,IS,,4.0,0.5
9,FOUND,,4.5,0.5
10,ON,,5.0,0.5
11,TEENAGE,,5.5,0.5
12,PUMPS,,6.0,0.5
13,S,,6.5,0.5
14,[2],,7.0,0.5
15,TO,,7.5,0.5
16,THE,,8.0,0.5
17,DIRECTORS,,8.5,0.5
18,THE,,9.0,0.5
19,PROBLEM,,9.5,0.5
20,APPEARED,,10.0,0.5
21,A,,10.5,0.5
22,MATTER,,11.0,0.5
23,OF,,11.5,0.5
24,INTRIGUE,,12.0,0.5
25,OR,,12.5,0.5
26,DIPLOMACY,,13.0,0.5
27,S,,13.5,0.5
28,[3],,14.0,0.5
29,THERE,,14.5,0.5
30,WAS,,15.0,0.5
31,LITTLE,,15.5,0.5
32,LIKELIHOOD,,16.0,0.5
33,OF,,16.5,0.5
34,ANY,,17.0,0.5
35,CUSTOMERS,,17.5,0.5
36,WALKING,,18.0,0.5
37,IN,,18.5,0.5
38,AT,,19.0,0.5
39,THAT,,19.5,0.5
40,HOUR,,20.0,0.5
41,S,,20.5,0.5
42,[1],,21.0,0.5
43,POME,,21.5,0.5
44,OY,,22.0,0.5
45,REE,,22.5,0.5
46,HOLILY,,23.0,0.5
47,SHOURN,,23.5,0.5
48,NE,,24.0,0.5
49,SLEOMING,,24.5,0.5
50,WHIMP,,25.0,0.5
51,REE,,25.5,0.5
52,RERE,,26.0,0.5
53,OS,,26.5,0.5
54,OFUKE,,27.0,0.5
55,N,,27.5,0.5
56,[2],,28.0,0.5
57,OT,,28.5,0.5
58,MOMP,,29.0,0.5
59,VO,,29.5,0.5
60,DETLERENCE,,30.0,0.5
61,FROT,,30.5,0.5
62,MOGS,,31.0,0.5
63,ELIBONCE,,31.5,0.5
64,POLVED,,32.0,0.5
65,RO,,32.5,0.5
66,OP,,33.0,0.5
67,UMMOSITE,,33.5,0.5
68,COMBLISION,,34.0,0.5
69,N,,34.5,0.5
70,[3],,35.0,0.5
71,CHITMENTS,,35.5,0.5
72,OY,,36.0,0.5
73,ORLS,,36.5,0.5
74,TROR,,37.0,0.5
75,WENDERT,,37.5,0.5
76,COONGLIES,,38.0,0.5
77,COURN,,38.5,0.5
78,MOMICONLY,,39.0,0.5
79,NE,,39.5,0.5
80,SOOZED,,40.0,0.5
81,AR,,40.5,0.5
82,CONTROGOME,,41.0,0.5
83,N,,41.5,0.5
84,[4],,42.0,0.5
85,E,,42.5,0.5
86,WOSE,,43.0,0.5
87,RO,,43.5,0.5
88,SPEONT,,44.0,0.5
89,REE,,44.5,0.5
90,INTLOSSION,,45.0,0.5
91,OY,,45.5,0.5
92,O,,46.0,0.5
93,COMBOUSE,,46.5,0.5
94,FUMS,,47.0,0.5
95,OY,,47.5,0.5
